interactionId,query_group_id,userId,courseId,timestamp,user_currentLevel,user_requiredLevel,user_skillGap,user_quizAttempts,user_averageQuizPercentage,user_jobRole,user_department,course_difficulty,course_durationHours,course_provider,context_relevanceScore,status,label
0bb25f57-b7b0-4690-bef4-f3e2fb771100,61933e86-788f-4e26-bfd0-a586f2a50629,USER_0,COURSE_0,2025-02-08T00:00:00,2,5,3,5,93.97884382870075,Analyst,Operations,advanced,29.5477637306448,ARAMBH Platform Catalog,65.49430609091296,enrolled,1
d615770c-01b2-4f81-95a5-11f832edc91c,61933e86-788f-4e26-bfd0-a586f2a50629,USER_0,COURSE_5,2025-02-08T00:49:00,2,5,3,5,93.97884382870075,Analyst,Operations,intermediate,1.2755859035689787,ARAMBH Platform Catalog,81.8324933294347,recommended,0
41ebda47-14a9-4999-a60d-4b1ee9de874b,61933e86-788f-4e26-bfd0-a586f2a50629,USER_0,COURSE_53,2025-02-08T01:27:00,2,5,3,5,93.97884382870075,Analyst,Operations,advanced,16.50530882241337,NSSTA,83.97128339081036,enrolled,1
aeecd730-b22c-4eeb-8ffb-25e27f3ce228,61933e86-788f-4e26-bfd0-a586f2a50629,USER_0,COURSE_71,2025-02-08T01:56:00,2,5,3,5,93.97884382870075,Analyst,Operations,beginner,26.173419540379545,ARAMBH Platform Catalog,87.33412208202384,enrolled,1
773f55b8-7eab-4e6a-a626-73b677b4e731,61933e86-788f-4e26-bfd0-a586f2a50629,USER_0,COURSE_30,2025-02-08T02:18:00,2,5,3,5,93.97884382870075,Analyst,Operations,beginner,2.225738241782636,NSSTA,74.61997174930545,recommended,0
ba683ebe-c354-46a2-91af-0112d2dc5ba9,61933e86-788f-4e26-bfd0-a586f2a50629,USER_0,COURSE_12,2025-02-08T02:40:00,2,5,3,5,93.97884382870075,Analyst,Operations,beginner,2.3411523234935174,iGOT,64.96877785945159,recommended,0
1b7d2f1f-4a1f-46bc-9b0f-b9d7109b40da,61933e86-788f-4e26-bfd0-a586f2a50629,USER_0,COURSE_10,2025-02-08T02:47:00,2,5,3,5,93.97884382870075,Analyst,Operations,intermediate,16.03124359905673,iGOT,73.39904882083754,completed,1
47f48f0d-a5f0-4048-975c-2e97fc605afd,61933e86-788f-4e26-bfd0-a586f2a50629,USER_0,COURSE_8,2025-02-08T03:02:00,2,5,3,5,93.97884382870075,Analyst,Operations,intermediate,2.811566096079911,NSSTA,79.14380521772476,completed,1
f532d664-b836-4127-8e4a-43394a9441b8,61933e86-788f-4e26-bfd0-a586f2a50629,USER_0,COURSE_57,2025-02-08T03:15:00,2,5,3,5,93.97884382870075,Analyst,Operations,intermediate,10.432239345117615,iGOT,78.52603774613735,completed,1
c0678d09-6ea7-43a3-b832-67f229b7e1ca,61933e86-788f-4e26-bfd0-a586f2a50629,USER_0,COURSE_58,2025-02-08T03:21:00,2,5,3,5,93.97884382870075,Analyst,Operations,intermediate,35.422817384384246,NSSTA,75.31653260094734,enrolled,1
